cyrillic	latin
definition	word
Венеция	Venetsiya
Греция	Gretsiya
Нью-Йорк	Nyu-York
Франция	fransiya
Швейсария	Shveysariya
Швеция	Shvetsiya
аберрацион	aberratsion
аберрация	aberratsiya
абзац	abzas
аболиционист	abolitsionist
аболиция	abolitsiya
абсорбциометр	absorbsiometr
абсорбция	absorbsiya
абстракционизм	abstraksionizm
абстракционист	abstraksionist
абстракция	abstraksiya
абсцесс	abssess
абсцисса	abssissa
аваль	aval
авансцена	avanssena
авиадвигатель	aviadvigatel
авиаль	avial
авиамодель	aviamodel
авианосец	avianoses
авиасъёмка	aviasyomka
авиацион	aviatsion
авиация	aviatsiya
авиаэскадрилья	aviaeskadrilya
автоинспекция	avtoinspeksiya
автомагистраль	avtomagistral
автомобиль	avtomobil
автомодель	avtomodel
автопавильон	avtopavilyon
автопотенциометр	avtopotensiometr
автоприцеп	avtopritsep
автопрцеп	avtoprsep
автослесарь	avtoslesar
автостанция	avtostansiya
агальматолит	agalmatolit
агглютинация	agglyutinatsiya
агитацион	agitatsion
агитация	agitatsiya
агитфильм	agitfilm
агломерация	aglomeratsiya
агностицизм	agnostitsizm
агрикультура	agrikultura
агробиоцен	agrobiotsen
агромелиорация	agromelioratsiya
агрофитоценоз	agrofitotsenoz
агроцех	agrotsex
адаптация	adaptatsiya
адельфан	adelfan
аденокарцинома	adenokarsinoma
администрация	administratsiya
адсорбция	adsorbsiya
адъектив	adyektiv
адъективация	adyektivatsiya
адъюнкт	adyunkt
адъюнктура	ad’yunktura
адъюстаж	adyustaj
адъютант	adyutant
адюльтер	adyulter
акалькулия	akalkuliya
акантоцефал	akantotsefal
акарицид	akaritsid
акация	akatsiya
акварель	akvarel
акклиматизация	akklimatizatsiya
аккомодация	akkomodatsiya
аккредитация	akkreditatsiya
акрополь	akropol
акроцефалия	akrotsefaliya
аксельбант	akselbant
аксолотль	aksolotl
актинобациллёз	aktinobatsillyoz
актиномицет	aktinomitset
актиномицин	aktinomitsin
акцелерация	akseleratsiya
акцент	aksent
акцепт	aksept
акцессион	aksession
акцессия	aksessiya
акцессор	aksessor
акциденция	aksidensiya
акциз	aksiz
акционер	aksioner
акционерлик	aksionerlik
акция	aksiya
акциядор	aksiyador
акциядорлик	aksiyadorlik
алайҳиллаъна	alayhilla’na
алголь	algol
алициклик	alitsiklik
алкилсульф	alkilsulf
алкоголь	alkogol
аллилацетон	allilatseton
аллитерация	alliteratsiya
алмагель	almagel
алъамон	al’amon
альбатрос	albatros
альбедо	albedo
альбертит	albertit
альбин	albin
альбит	albit
альбихтол	albixtol
альбицция	albissiya
альболин	albolin
альболит	albolit
альбом	albom
альбомицин	albomitsin
альборанит	alboranit
альбумин	albumin
альбуцид	albutsid
альвеол	alveol
альвит	alvit
альгарит	algarit
альгинат	alginat
альгицид	algitsid
альговит	algovit
альголог	algolog
альдебаран	aldebaran
альдегид	aldegid
альдоза	aldoza
альдолаза	aldolaza
альдоль	aldol
альдостерон	aldosteron
альдрованда	aldrovanda
алькольд	alkold
альма-терапия	alma-terapiya
альмандин	almandin
альменда	almenda
альни	alni
альнико	alniko
альпака	alpaka
альпари	alpari
альпеншток	alpenshtok
альпиниада	alpiniada
альпинизм	alpinizm
альпинист	alpinist
альсифер	alsifer
альт	alt
альтазимут	altazimut
альтакс	altaks
альтер	alter
альтернатив	alternativ
альтернатива	alternativa
альтиграф	altigraf
альтиметр	altimetr
альтинг	alting
альтитуда	altituda
альтруизм	altruizm
альтруист	altruist
альтчи	altchi
альфа	alfa
альфа-зарралар	alfa-zarralar
альфаметр	alfametr
альфатрон	alfatron
альянс	alyans
алюмель	alyumel
алюмогель	alyumogel
алюмокальцит	alyumokalsit
алюмокварцит	alyumokvarsit
амальгама	amalgama
америций	ameritsiy
амилацетат	amilatsetat
аминоацид	aminoatsid
амортизация	amortizatsiya
ампервольтваттметр	ampervoltvattmetr
ампервольтметр	ampervoltmetr
ампициллин	ampitsillin
ампутация	amputatsiya
амримаъруф	amrima’ruf
амфотерицин	amfoteritsin
анальбит	analbit
анальгезия	analgeziya
анальгетик	analgetik
анальгин	analgin
анальгия	analgiya
анальцим	analsim
анальцитит	analsitit
андроцей	androtsey
аннотация	annotatsiya
аннуляция	annulyatsiya
анофтальм	anoftalm
ансамбль	ansambl
антигельминт	antigelmint
антидактиль	antidaktil
антиклиналь	antiklinal
антиперистальтика	antiperistaltika
антифильтрацион	antifiltratsion
антициклон	antitsiklon
антиэпицентр	antiepitsentr
антрацен	antratsen
антрацит	antratsit
антресоль	antresol
антропоцентризм	antropotsentrizm
анъана	an’ana
анъанавий	an’anaviy
анэнцефалия	anensefaliya
апелляция	apellyatsiya
апельсин	apelsin
апикаль	apikal
апостильб	apostilb
апотеций	apotetsiy
аппарель	apparel
аппендицит	appenditsit
апперцепция	appersepsiya
аппликация	applikatsiya
апрель	aprel
апробация	aprobatsiya
арборицид	arboritsid
аргументация	argumentatsiya
артель	artel
артикль	artikl
артральгия	artralgiya
архимицет	arximitset
арьергард	aryergard
арьерсцена	aryerssena
асбоцемент	asbotsement
аскомицет	askomitset
ассимиляция	assimilyatsiya
ассоциатив	assotsiativ
ассоциация	assotsiatsiya
асфальт	asfalt
асфальтламоқ	asfaltlamoq
асфальтли	asfaltli
асфодель	asfodel
асцидия	assidiya
асцит	assit
асъаса-дабдаба	as’asa-dabdaba
асъенда	asyenda
асъенто	asyento
ателье	atele
аттестацион	attestatsion
аттестация	attestatsiya
аттракцион	attraksion
аукцион	auksion
ауреомицин	aureomitsin
аускультация	auskultatsiya
аутовакцина	autovaksina
афицид	afitsid
ацеклидин	atseklidin
ацетал	atsetal
ацетальдегид	atsetaldegid
ацетамид	atsetamid
ацетанилид	atsetanilid
ацетат	atsetat
ацетил	atsetil
ацетилен	atsetilen
ацетилцеллюлоза	atsetilsellyuloza
